Variable;DSSAT;Unidades_DSSAT;CropSyst;Unidades_CropSyst
Profundidad_muestras;SLB;cm;thickness;m
Límite_bajo;SLLL;cm3/cm3;;
Límite_alto;SDUL;cm3/cm3;;
Límite_alto_sat;SSAT;cm3/cm3;;
Factor_crec_raíz;SRGF;;;
Cond_hidró_sat;SSKS;cm/h;sat_hydraul_cond;m/day
Densidad_suelo;SBDM;g/cm3;bulk_density;g/cm2
Carbono_orgán;SLOC;%;;
Porcent_argi;SLCL;%;clay;%
Porcent_lim;SLSI;%;silt;%
Porcent_rocas;SLCF;%;;
Nitró_total;SLNI;%;;
pH_agua;SLHW;;;
pH_tamp;SLHB;;;
Poten_intercamb_cat;SCEC;cmol/kg;cation_exchange_capacity;mEq/hg
;SADC;;;
Fósforo_extract;SLPX;mg/kg;;
Fósforo_total;SLPT;mg/kg;;
Fósforo_organ;SLPO;mg/kg;;
CaCO3;CACO3;g/kg;;
Aluminio;SLAL;;;
Hierro;SLFE;;;
Manganesio;SLMN;;;
Satur_base;SLBS;cmol/kg;;
Isoterm_P_a;SLPA;mmol/kg;;
Isoterm_P_b;SLPB;mmol/kg;;
Potas_intercamb;SLKE;;;
Magnesio;SLMG;cmol/kg;;
Sodio;SLNA;cmol/kg;;
Solfor;SLSU;;;
Conduct_eléc;SLEC;seimen;;
Calcio_intercamb;SLCA;cmol/kg;;
Textura_suelo;SLTX;;;
Profundidad_suelo;SLDP;;;
Color;SCOM;;;
Albedo;SALB;;;
Límite_evap;SLU1;cm;;
Drenaje;SLDR;/día;;
;SLRO;;;
Factor_mineral;SLNF;;;
Factor_fotosyn;SLPF;;;
Método_pH;SMHB;;;
Método_potasio;SMKE;;;
Punto_marchit_perm;;;perm_wilt_point;m3/m3
