Día,Estadio 1,Estadio 2,Estadio 3,Estadio 4,Estadio 5,Larva,Pupa,Para_larva_por,Para_larva_abs,Para_pupa_por,Para_pupa_abs,Coco
0,0,90,200,175,250,715,300,6,42.9,15,45,5000
7,0,25,100,170,180,475,260,16,76,28,72.8,
14,850,25,10,0,10,895,60,8,71.6,30,18,
21,1200,100,0,10,0,1310,40,2,26.2,0,0,
28,210,780,200,50,0,1240,0,1.8,22.32,15,0,
35,20,800,700,425,300,2245,20,2,44.9,18,3.6,
42,10,300,300,300,310,1220,50,3,36.6,24,12,
49,0,125,280,275,280,960,120,6,57.6,28,33.6,
56,0,40,50,100,150,340,110,26,88.4,76,83.6,
63,410,25,0,0,0,435,45,18,78.3,89,40.05,
70,650,10,0,0,0,660,10,4,26.4,100,10,
77,300,250,5,0,0,555,0,5,27.75,0,0,
84,40,25,120,0,0,185,0,2,3.7,30,0,
91,0,375,280,150,10,815,10,3,24.45,16,1.6,
98,0,175,225,225,175,800,20,2.5,20,14,2.8,
105,0,50,150,200,175,575,70,4,23,35,24.5,
112,0,25,50,50,125,250,50,7,17.5,75,37.5,
119,10,0,20,20,20,70,20,22,15.4,57,11.4,
126,300,15,0,0,0,315,0,4,12.6,90,0,
133,170,100,0,0,0,270,0,5,13.5,15,0,
140,50,250,50,0,0,350,0,2,7,20,0,
147,0,270,280,175,75,800,0,4,32,37,0,
154,0,100,250,225,150,725,60,0,0,60,36,
161,0,10,100,150,150,410,50,6,24.6,68,34,
168,0,0,60,100,70,230,85,3,6.9,100,85,
175,50,0,10,50,65,175,30,6,10.5,67,20.1,
182,140,10,10,10,20,190,15,12,22.8,20,3,
189,50,50,0,0,0,100,10,6,6,27,2.7,
196,0,150,10,0,0,160,0,1,1.6,18,0,
203,0,160,20,0,0,180,0,0,0,100,0,
210,0,100,60,20,0,180,0,1,1.8,100,0,
217,0,50,50,20,0,120,10,0,0,0,0,
224,0,20,50,50,70,190,12,2,3.8,0,0,
231,0,0,20,20,20,60,0,2,1.2,,,
238,0,0,0,0,0,0,0,0,0,,,
245,0,0,0,0,0,0,0,45,0,,,
252,0,0,0,0,0,0,0,20,0,,,
259,0,0,0,0,0,0,0,22,0,,,
266,0,0,0,0,0,0,0,7,0,,,
273,0,0,0,0,0,0,0,0,0,,,
280,0,0,0,0,0,0,0,0,0,,,
287,0,0,0,0,0,0,0,,0,,,
294,0,0,0,0,0,0,0,,0,,,
