Dia,Proportion mined leaves,SE,larvae/leaf,TotalMortality(propostion)_Larval,SE,Predation(propostion)_Larval,SE,Parasitism(proportion)_Larval,SE,FOPP(proportion)_Larval,SE,TotalMortality(proportion)_Pupal,SE,Predation(proportion)_Pupal,SE,Parasitism(proportion)_Pupal,SE,FOPP(proportion)_Pupal,SE
30,0.355102041,0.440816327,1.039662447,0.778614458,0.03313253,0.099397591,0.024096385,0.338855422,0.051204819,0.33433735,0.042168675,0.45933735,0.099397591,0.414156627,0.105421687,0.027108434,0.042168675,0.027108434,0.042168675
61,0.285714286,0.367346939,0.897890295,0.894578313,0.024096386,0.171686747,0.030120482,0.228915663,0.036144579,0.490963856,0.042168675,0.5,0.102409638,0.289156627,0.090361445,0.179216867,0.075301205,0.031626506,0.03313253
92,0.440816327,0.534693878,0.974683544,0.843373494,0.036144578,0.319277109,0.042168675,0.17620482,0.039156627,0.347891567,0.045180723,0.501506024,0.09939759,0.289156627,0.090361445,0.179216867,0.075301205,0.030120482,0.036144578
122,0.302040816,0.391836735,0.939240506,0.923192771,0.021084337,0.418674699,0.042168675,0.323795181,0.039156627,0.182228916,0.03313253,0.61746988,0.102409639,0.438253012,0.105421686,0.168674699,0.078313253,0.010542169,0.021084337
153,0.363265306,0.453061224,0.998312236,0.935240964,0.021084337,0.36746988,0.042168675,0.292168675,0.042168675,0.272590362,0.033132531,,,,,,,,
183,0.191836735,0.26122449,0.416455696,0.929216867,0.027108434,0.292168675,0.042168675,0.349397591,0.048192771,0.289156627,0.048192771,,,,,,,,
214,0.089795918,0.142857143,0.153586498,0.893072289,0.045180723,0.350903615,0.075301205,0.293674699,0.069277108,0.251506024,0.063253012,,,,,,,,
245,0.065306122,0.106122449,0.106329114,0.84939759,0.072289157,0.301204819,0.096385542,0.375,0.09939759,0.171686747,0.078313253,,,,,,,,
273,0.069387755,0.114285714,0.129957806,0.625,0.087349398,0.195783133,0.066265061,0.266566265,0.075301204,0.162650602,0.060240964,,,,,,,,
304,0.240816327,0.318367347,0.481434599,0.34939759,0.048192771,0.049698795,0.027108434,0.126506024,0.036144578,0.173192771,0.039156626,0.289156627,0.096385543,0.155120482,0.075301204,0.052710843,0.045180723,0.078313253,0.054216868
334,0.175510204,0.248979592,0.316033755,0.605421687,0.054216867,0.112951807,0.03313253,0.311746988,0.05120482,0.182228916,0.045180723,0.507530121,0.111445783,0.304216868,0.102409639,0.177710843,0.084337349,0.024096386,0.036144579
365,0.33877551,0.424489796,0.921518987,0.564759036,0.045180723,0.067771085,0.021084337,0.265060241,0.042168674,0.230421687,0.03313253,0.451807229,0.102409638,0.34186747,0.093373494,0.055722892,0.03313253,0.054216868,0.036144579
395,0.489795918,0.583673469,1.408860759,0.668674699,0.048192771,0.352409639,0.048192771,0.125,0.03313253,0.19126506,0.039156626,0.530120482,0.108433735,0.234939759,0.090361446,0.295180723,0.096385542,0,0
426,0.497959184,0.587755102,1.060337553,0.822289157,0.030120482,0.403614458,0.042168675,0.271084338,0.036144579,0.147590361,0.030120482,0.344879518,0.09939759,0.254518072,0.093373494,0.088855422,0.063253012,0,0
