Mes    ,Lluvia,Unidades         ,Temp máx,Unidades             ,Temp mín,Unidades
2003-06,710.91,mm (suma mensual),33.13   ,°C (promedio mensual),19.54   ,°C (promedio mensual)
2003-07,607.27,mm (suma mensual),33.05   ,°C (promedio mensual),17.55   ,°C (promedio mensual)
2003-08,626.36,mm (suma mensual),33.52   ,°C (promedio mensual),18.52   ,°C (promedio mensual)
2003-09,975.45,mm (suma mensual),33.52   ,°C (promedio mensual),19.04   ,°C (promedio mensual)
2003-10,588.18,mm (suma mensual),33.09   ,°C (promedio mensual),19.04   ,°C (promedio mensual)
2003-11,239.09,mm (suma mensual),33.56   ,°C (promedio mensual),18.55   ,°C (promedio mensual)
2003-12,7.27  ,mm (suma mensual),33.6    ,°C (promedio mensual),15.04   ,°C (promedio mensual)
2004-01,4.55  ,mm (suma mensual),34.11   ,°C (promedio mensual),15.04   ,°C (promedio mensual)
2004-02,18.18 ,mm (suma mensual),34.53   ,°C (promedio mensual),16.02   ,°C (promedio mensual)
2004-03,78.18 ,mm (suma mensual),35.58   ,°C (promedio mensual),18.03   ,°C (promedio mensual)
2004-04,75.45 ,mm (suma mensual),35.58   ,°C (promedio mensual),16.54   ,°C (promedio mensual)
2004-05,552.73,mm (suma mensual),34.57   ,°C (promedio mensual),18.52   ,°C (promedio mensual)
2004-06,544.55,mm (suma mensual),33.6    ,°C (promedio mensual),19.02   ,°C (promedio mensual)
2004-07,571.82,mm (suma mensual),32.55   ,°C (promedio mensual),18.05   ,°C (promedio mensual)
